TimeGenerated,IoC,IoC_Type,Tags,Threat_Type,Status,itype
2023-03-09T23:26:54.448Z,136.175.69.147,ip,"[""hostname:147.69.175.136.dhcp.hay.net"", ""malware:QakBot"", ""port:443""]",c2,active,c2_ip
2023-03-09T23:26:54.199Z,92.159.173.52,ip,"[""hostname:arennes-299-1-86-52.w92-159.abo.wanadoo.fr"", ""malware:QakBot"", ""port:2222""]",c2,active,c2_ip
2023-03-09T22:39:42.697Z,45.86.230.69,ip,"[""39778"", ""#qakbot"", ""#qbot"", ""[IR-2][PIR-1]"", ""executemalware"", ""https://twitter.com/executemalware/status/1633957543365038080"", ""Pinkslipbot"", ""Qbot"", ""QuackBot"", ""soc-39778""]",phish,active,phish_ip
2023-03-09T18:05:53.304Z,85.239.52.29,ip,"[""39778"", ""[IR-2][PIR-1]"", ""ata_ais_circle"", ""ata_apt_russia"", ""HWC_phish"", ""malware-qakbot"", ""Phishing"", ""Pinkslipbot"", ""Process-Auto-Approve"", ""Qbot"", ""QuackBot"", ""send2palo"", ""soc-39778"", ""T1204-User_Execution"", ""T1566-Phishing"", ""URL2Domain""]",phish,active,phish_ip
2023-03-09T18:05:53.197Z,116.74.164.176,ip,"[""39778"", ""[IR-2][PIR-1]"", ""ata_ais_circle"", ""ata_apt_russia"", ""HWC_phish"", ""malware-qakbot"", ""Phishing"", ""Pinkslipbot"", ""Qbot"", ""QuackBot"", ""send2palo"", ""soc-39778"", ""T1204-User_Execution"", ""T1566-Phishing""]",phish,active,phish_ip
2023-03-09T18:05:52.969Z,176.205.188.253,ip,"[""39778"", ""[IR-2][PIR-1]"", ""ata_ais_circle"", ""ata_apt_russia"", ""HWC_phish"", ""malware-qakbot"", ""Phishing"", ""Pinkslipbot"", ""Qbot"", ""QuackBot"", ""send2palo"", ""soc-39778"", ""T1204-User_Execution"", ""T1566-Phishing""]",phish,active,phish_ip
2023-03-09T18:05:52.751Z,86.152.112.216,ip,"[""39778"", ""[IR-2][PIR-1]"", ""ata_ais_circle"", ""ata_apt_russia"", ""HWC_phish"", ""malware-qakbot"", ""Phishing"", ""Pinkslipbot"", ""Qbot"", ""QuackBot"", ""send2palo"", ""soc-39778"", ""T1204-User_Execution"", ""T1566-Phishing""]",phish,active,phish_ip
2023-03-09T18:05:52.537Z,154.246.62.48,ip,"[""39778"", ""[IR-2][PIR-1]"", ""ata_ais_circle"", ""ata_apt_russia"", ""HWC_phish"", ""malware-qakbot"", ""Phishing"", ""Pinkslipbot"", ""Qbot"", ""QuackBot"", ""send2palo"", ""soc-39778"", ""T1204-User_Execution"", ""T1566-Phishing""]",phish,active,phish_ip
2023-03-09T18:05:51.967Z,116.75.63.136,ip,"[""39778"", ""[IR-2][PIR-1]"", ""ata_ais_circle"", ""ata_apt_russia"", ""HWC_phish"", ""malware-qakbot"", ""Phishing"", ""Pinkslipbot"", ""Qbot"", ""QuackBot"", ""send2palo"", ""soc-39778"", ""T1204-User_Execution"", ""T1566-Phishing""]",phish,active,phish_ip
2023-03-09T18:05:51.634Z,162.243.186.39,ip,"[""39778"", ""[IR-2][PIR-1]"", ""ata_ais_circle"", ""ata_apt_russia"", ""HWC_phish"", ""malware-qakbot"", ""Phishing"", ""Pinkslipbot"", ""Process-Auto-Approve"", ""Qbot"", ""QuackBot"", ""send2palo"", ""soc-39778"", ""T1204-User_Execution"", ""T1566-Phishing"", ""URL2Domain""]",phish,active,phish_ip
2023-03-09T18:05:51.125Z,49.37.96.184,ip,"[""39778"", ""[IR-2][PIR-1]"", ""ata_ais_circle"", ""ata_apt_russia"", ""HWC_phish"", ""malware-qakbot"", ""Phishing"", ""Pinkslipbot"", ""Qbot"", ""QuackBot"", ""send2palo"", ""soc-39778"", ""T1204-User_Execution"", ""T1566-Phishing""]",phish,active,phish_ip
2023-03-09T18:05:51.017Z,85.239.52.47,ip,"[""39778"", ""[IR-2][PIR-1]"", ""ata_ais_circle"", ""ata_apt_russia"", ""HWC_phish"", ""malware-qakbot"", ""Phishing"", ""Pinkslipbot"", ""Process-Auto-Approve"", ""Qbot"", ""QuackBot"", ""send2palo"", ""soc-39778"", ""T1204-User_Execution"", ""T1566-Phishing"", ""URL2Domain""]",phish,active,phish_ip
2023-03-09T18:05:50.818Z,142.93.250.152,ip,"[""39778"", ""[IR-2][PIR-1]"", ""ata_ais_circle"", ""ata_apt_russia"", ""HWC_phish"", ""malware-qakbot"", ""Phishing"", ""Pinkslipbot"", ""Process-Auto-Approve"", ""Qbot"", ""QuackBot"", ""send2palo"", ""soc-39778"", ""T1204-User_Execution"", ""T1566-Phishing"", ""URL2Domain""]",phish,active,phish_ip
2023-03-09T18:05:50.259Z,86.98.212.69,ip,"[""39778"", ""[IR-2][PIR-1]"", ""ata_ais_circle"", ""ata_apt_russia"", ""HWC_phish"", ""malware-qakbot"", ""Phishing"", ""Pinkslipbot"", ""Qbot"", ""QuackBot"", ""send2palo"", ""soc-39778"", ""T1204-User_Execution"", ""T1566-Phishing""]",phish,active,phish_ip
2023-03-09T18:05:50.108Z,82.212.111.148,ip,"[""39778"", ""[IR-2][PIR-1]"", ""ata_ais_circle"", ""ata_apt_russia"", ""HWC_phish"", ""malware-qakbot"", ""Phishing"", ""Pinkslipbot"", ""Qbot"", ""QuackBot"", ""send2palo"", ""soc-39778"", ""T1204-User_Execution"", ""T1566-Phishing""]",phish,active,phish_ip
2023-03-09T18:05:50.015Z,37.186.55.152,ip,"[""39778"", ""[IR-2][PIR-1]"", ""ata_ais_circle"", ""ata_apt_russia"", ""HWC_phish"", ""malware-qakbot"", ""Phishing"", ""Pinkslipbot"", ""Qbot"", ""QuackBot"", ""send2palo"", ""soc-39778"", ""T1204-User_Execution"", ""T1566-Phishing""]",phish,active,phish_ip
2023-03-09T18:05:49.789Z,85.239.54.236,ip,"[""39778"", ""[IR-2][PIR-1]"", ""ata_ais_circle"", ""ata_apt_russia"", ""HWC_phish"", ""malware-qakbot"", ""Phishing"", ""Pinkslipbot"", ""Process-Auto-Approve"", ""Qbot"", ""QuackBot"", ""send2palo"", ""soc-39778"", ""T1204-User_Execution"", ""T1566-Phishing"", ""URL2Domain""]",phish,active,phish_ip
2023-03-09T18:05:49.728Z,109.76.174.191,ip,"[""39778"", ""[IR-2][PIR-1]"", ""ata_ais_circle"", ""ata_apt_russia"", ""HWC_phish"", ""malware-qakbot"", ""Phishing"", ""Pinkslipbot"", ""Qbot"", ""QuackBot"", ""send2palo"", ""soc-39778"", ""T1204-User_Execution"", ""T1566-Phishing""]",phish,active,phish_ip
2023-03-09T18:05:49.479Z,85.239.53.83,ip,"[""39778"", ""[IR-2][PIR-1]"", ""ata_ais_circle"", ""ata_apt_russia"", ""HWC_phish"", ""malware-qakbot"", ""Phishing"", ""Pinkslipbot"", ""Process-Auto-Approve"", ""Qbot"", ""QuackBot"", ""send2palo"", ""soc-39778"", ""T1204-User_Execution"", ""T1566-Phishing"", ""URL2Domain""]",phish,active,phish_ip
2023-03-09T18:05:49.413Z,116.74.164.150,ip,"[""39778"", ""[IR-2][PIR-1]"", ""ata_ais_circle"", ""ata_apt_russia"", ""HWC_phish"", ""malware-qakbot"", ""Phishing"", ""Pinkslipbot"", ""Qbot"", ""QuackBot"", ""send2palo"", ""soc-39778"", ""T1204-User_Execution"", ""T1566-Phishing""]",phish,active,phish_ip
2023-03-09T18:05:49.287Z,47.16.69.185,ip,"[""39778"", ""[IR-2][PIR-1]"", ""ata_ais_circle"", ""ata_apt_russia"", ""HWC_phish"", ""malware-qakbot"", ""Phishing"", ""Pinkslipbot"", ""Qbot"", ""QuackBot"", ""send2palo"", ""soc-39778"", ""T1204-User_Execution"", ""T1566-Phishing""]",phish,active,phish_ip
2023-03-09T18:05:49.064Z,146.190.116.245,ip,"[""39778"", ""[IR-2][PIR-1]"", ""ata_ais_circle"", ""ata_apt_russia"", ""HWC_phish"", ""malware-qakbot"", ""Phishing"", ""Pinkslipbot"", ""Process-Auto-Approve"", ""Qbot"", ""QuackBot"", ""send2palo"", ""soc-39778"", ""T1204-User_Execution"", ""T1566-Phishing"", ""URL2Domain""]",phish,active,phish_ip
